Store,Dept,RMSE,MAE
2,97,1997.62371556,1604.08209321
2,98,1374.83752654,1142.47233816
2,99,1871.63902265,1840.84215621
2,39,2.37420139534e-13,3.62095226641e-14
2,50,0,0
2,43,0,0
2,65,0,0
3,1,2517.72789235,1396.80441509
3,2,1365.4445468,1138.25616962
3,3,1907.16600624,1014.01192113
3,4,823.600306868,673.044107029
3,5,4648.70683804,4180.51032371
3,6,819.092970217,690.859106436
3,7,6614.72362818,5774.44271509
3,8,913.504075338,802.558269609
3,9,2480.77828426,2004.25950826
3,10,1679.94356362,1455.93257464
3,11,2762.45006186,1904.63352204
3,12,540.98531146,414.181551319
3,13,2767.73323606,2568.76558091
3,14,2161.7043272,2020.76855864
3,16,3122.26212408,2338.27104643
3,17,519.55449903,407.79691949
3,18,1219.38184702,884.413391057
3,19,925.894441699,660.675250385
3,20,558.718408716,444.324772432
3,21,346.09806281,268.18767358
3,22,1158.79638809,919.288054293
3,23,1628.96264541,1294.57553547
3,24,1437.9471617,1155.16641688
3,25,1112.58959036,925.667083531
3,26,926.665881652,702.759889486
3,27,241.247882529,215.313676462
3,28,67.4381059808,51.5278597163
3,29,511.324623511,438.135332867
3,30,340.793025457,261.839738609
3,31,423.525561215,357.403620623
3,32,1540.81891589,1050.18192626
3,33,893.315963034,688.983959084
3,34,1149.57890897,888.226054024
3,35,521.214819509,445.023083957
3,36,494.398370718,339.960942749
3,37,0,0
3,38,13487.1081392,10657.8238547
3,40,2312.72109396,2117.91571524
3,41,369.575099545,315.389190589
3,42,1603.52166947,1296.90431779
3,44,766.865212671,616.104749085
3,45,1.12213112354,1.08413428962
3,46,608.826466877,473.315876891
3,47,1.19272226891,1.19272226891
3,48,0,0
3,49,13.7749378268,9.67198129501
3,51,2.73438223806,1.35651585889
3,52,262.463840615,190.000414444
3,54,61.4661190071,51.601661489
3,55,1422.2150369,1155.54436262
3,56,615.100722728,446.589783961
3,58,0,0
3,59,494.791885253,487.723280209
3,60,55.3871990796,45.3106685253
3,67,727.22879488,477.105507066
3,71,666.059861842,520.965438612
3,72,4815.31133017,3859.22719091
3,74,1015.9556314,824.943843289
3,77,27.0124555124,26.9269145076
3,78,4.76851615393e-22,8.20922169269e-23
3,79,835.855233445,715.49035575
3,80,16.7677869413,15.8158406962
3,81,268.113990532,230.283698225
3,82,1341.25021623,1194.0752752
3,83,0,0
3,85,300.700699046,245.217135328
3,87,559.622746817,481.685519401
3,90,340.405243227,309.610809906
3,91,138.804865545,108.148096802
3,92,1097.98003899,955.768617129
3,93,0,0
3,94,965.617579582,310.196926558
3,95,3130.18576131,2546.34972411
3,96,2225.94772899,2031.55819526
3,97,156.993589788,120.866251947
3,98,33.4211064854,31.0069411
3,99,0,0
3,39,0,0
3,50,0,0
3,43,0,0
3,65,0,0
4,1,12773.4642782,6003.58113996
4,2,4185.40030404,3343.77581651
4,3,3880.87056567,2126.69526887
4,4,2852.38858392,2296.75687737
4,5,14248.6537232,12773.8248934
4,6,3398.96377172,2991.42089599
4,7,30036.8021607,29347.3682023
4,8,3044.16183944,2681.10946619
4,9,4313.59979122,3468.74321977
4,10,4708.07764245,3854.43241482
4,11,7215.86609168,5394.61891127
4,12,1212.51101195,953.455171688
4,13,4083.42218342,3414.91217839
4,14,9756.92793787,9537.69720781
4,16,5726.17479572,4063.13319904
4,17,2132.73199157,1700.78875153
4,18,7774.0289129,5656.89433811
4,19,691.857397163,515.263150653
4,20,1082.22818522,809.874930872
4,21,1317.40604785,1091.31777863
4,22,2723.40939154,2285.63802791
4,23,14649.2292889,13600.2208789
4,24,1847.7916108,1408.22681694
4,25,3155.59926251,2620.66491985
4,26,2687.24390821,1892.86618169
4,27,459.524323195,381.869292714
4,28,159.151632393,118.571131193
4,29,2616.47668215,2404.41064653
4,30,863.355509287,709.451721086
4,31,1278.49065108,968.96469496
4,32,3444.59603032,2791.57137712
4,33,2941.95228037,2628.28606375
4,34,3259.25122782,2647.13092969
4,35,972.254313719,748.125566691
4,36,1208.99344185,1002.88585169
4,37,1010.35100177,752.777562921
4,38,9677.82046518,7735.47068117
4,40,4609.65276403,3952.34431516
4,41,706.01381809,499.291204165
4,42,1556.13248008,1237.28819817
4,44,1651.96962211,1433.54743022
4,45,10.3029149329,8.81551006327
4,46,6624.51078848,6138.54072436
4,47,47.2601801961,20.8142105802
4,48,2080.23005398,1700.07258648
4,49,1638.00718458,1382.44546765
4,51,4.34463696199,1.61263498233
4,52,1647.72785638,1298.64129505
4,54,108.467192354,97.5285180215
4,55,2326.26418497,1888.13767942
4,56,3548.1928889,2566.38536862
4,58,3476.52878586,2893.30393642
4,59,11041.0726075,11039.2105002
4,60,100.90442199,76.2932959931
4,67,2689.28059757,1596.99967817
4,71,2003.00612668,1562.80984139
4,72,15479.9129287,11463.7906626
4,74,2047.88174245,1621.44407611
4,77,91.002080835,76.3158672755
4,78,0.894340589003,0.894340589003
4,79,5317.94777351,4453.62443746
4,80,3145.73015729,2664.43610644
4,81,1400.31211945,1113.9253778
4,82,16117.5074014,15920.5202118
4,83,2895.86795908,2628.88349486
4,85,1039.35449395,911.629062225
4,87,2104.33254431,1661.05988962
4,90,6399.8295171,5355.76889995
4,91,6348.96809808,5239.45283401
4,92,9836.79157702,8281.93125568
4,93,4274.13145634,3395.00746934
4,94,7073.82743457,5862.90364193
4,95,8658.97290721,6709.40649886
4,96,4340.87697953,2875.00819734
4,97,2960.81947553,2413.49246874
4,98,1294.91576463,1005.70464396
4,99,2552.80533859,2519.70627464
4,39,0.0,0.0
4,50,0,0
4,43,0,0
4,65,0,0
5,1,2524.42919494,1149.28823792
5,2,1246.29739539,1061.61057603
5,3,2075.10709585,910.495784998
5,4,536.549635096,396.916283867
5,5,2767.97450925,2450.81121679
5,6,415.46569584,354.455420984
5,7,1127.41451277,820.254225355
5,8,1080.19952185,945.552078322
5,9,1755.99627806,1363.90621542
5,10,1256.92588665,1085.10264619
5,11,1605.76200292,1314.06822636
5,12,390.67920441,307.528003803
5,13,756.890360258,648.318128898
5,14,989.610573325,847.54333088
5,16,2053.52827987,1426.51644634
5,17,420.146721637,308.061894612
5,18,1007.14391853,816.259382006
5,19,41.7593838704,30.9577990343
5,20,373.361875438,287.3531412
5,21,250.39997228,218.090501599
5,22,1103.72817465,983.605626498
5,23,1076.29605776,774.205752542
5,24,783.747481941,522.986907402
5,25,740.094542063,524.819545425
5,26,466.34015024,358.935748283
5,27,131.117801896,112.35502829
5,28,124.167449694,114.614031435
5,29,240.121776039,195.547193911
5,30,234.011117618,189.105391686
5,31,280.340758901,189.545140893
5,32,1023.92956507,835.491253512
5,33,511.488912412,379.864887077
5,34,700.738753911,580.17436075
5,35,476.536848382,377.751182399
5,36,363.873809592,239.750349619
5,37,0,0
5,38,10534.7931646,8410.1768552
5,40,1296.20520886,962.650605772
5,41,731.010155182,689.94160249
5,42,581.869668284,471.689041618
5,44,521.313033388,424.116600939
5,45,19.2330984347,15.9018907624
5,46,478.753388272,374.995422436
5,47,34.4140943681,15.9770823266
5,48,0,0
5,49,37.6012374289,27.7803189017
5,51,0.0215950476943,0.0215950476943
5,52,264.445734695,218.984568659
5,54,59.0248077267,41.7277685731
5,55,662.268132104,521.448071384
5,56,742.548414947,528.077719146
5,58,837.244922402,639.758695724
5,59,52.4055335191,49.3132401676
5,60,100.880262798,84.1150028231
5,67,1017.68115703,540.212947284
5,71,249.10010296,205.834345545
5,72,3649.35861155,2910.58926119
5,74,636.483728272,517.075671146
5,77,19.7135335347,19.7135335347
5,78,2.54239358988e-22,5.35751755287e-23
5,79,590.387338957,478.034408504
5,80,0.326997010006,0.315583579361
5,81,347.733354899,311.671678881
5,82,591.359236673,485.594472633
5,83,0,0
5,85,333.802816287,271.480388787
5,87,1462.85913429,1196.76971526
5,90,409.567989967,345.099058798
5,91,208.281824982,170.43394595
5,92,1416.04423492,1290.98215659
5,93,0,0
5,94,905.31707532,499.608918504
5,95,1318.15972247,1084.69351788
5,96,1298.2552263,1132.96852554
5,97,118.920223001,92.2998549855
5,98,74.9722935471,72.8629310499
5,99,0,0
5,39,0,0
5,50,0,0
5,43,0,0
5,65,0,0
6,1,9446.83008041,4498.20426149
6,2,4011.19077176,3451.6787779
6,3,5414.78727073,2441.33208122
6,4,1826.72377339,1370.19208937
6,5,5533.49337499,4274.16490794
6,6,3740.06737472,3406.09081716
6,7,4757.98019545,3860.78232878
6,8,2113.14610799,1758.18373121
6,9,4695.75162112,3441.70994008
6,10,4336.84306906,3271.4640529
6,11,3330.25846819,2620.49599776
6,12,1085.41477815,923.291496867
6,13,4686.42694415,4220.20425376
6,14,3898.35326931,3375.60873018
6,16,4156.25546184,3279.39538997
6,17,2571.37078762,2171.54159288
6,18,4323.73789658,2691.70980303
6,19,808.118130629,655.706604733
6,20,1124.86803761,956.331088081
6,21,1833.49371554,1594.08659045
6,22,3427.27059329,2801.00996148
6,23,4789.38517611,3863.37384943
6,24,2151.28342862,1442.64253488
6,25,1781.86403541,1292.84220766
6,26,1716.48875445,1208.8304739
6,27,344.644623614,291.118550791
6,28,93.2152647026,75.4958829646
6,29,921.070193793,799.261517149
6,30,730.35400128,565.115237356
6,31,875.051211214,678.546976724
6,32,2313.07512523,1800.81660162
6,33,1828.61034943,1395.55253771
6,34,5230.79945161,4672.36806515
6,35,677.712220715,575.263731744
6,36,1161.00610835,908.947943687
6,37,443.771233325,363.46092761
6,38,10109.6488123,7841.28629111
6,40,3201.32039426,2612.84130393
6,41,1776.55513996,1585.64530532
6,42,1005.94218385,761.615177889
6,44,1021.88678808,756.567006617
6,45,23.7102440741,16.1302747901
6,46,6909.9153674,6717.83277405
6,47,85.4921680559,31.326602567
6,48,1202.56844814,981.341167444
6,49,2679.18938154,2197.50439847
6,51,6.69920004294e-13,1.0380538164e-13
6,52,1369.22322879,1100.67920904
6,54,147.169290304,109.481825645
6,55,2186.28330637,1805.67116282
6,56,2230.68537589,1456.79822844
6,58,1916.27491295,1536.65296049
6,59,1751.98817107,1724.34629689
6,60,294.312871442,263.937180001
6,67,2637.22193223,1422.15018685
6,71,1028.73364713,843.864512323
6,72,14730.7483374,13502.69591
6,74,2508.79843904,2015.45443978
6,77,27.4275581619,27.233133975
6,78,1.75650268637,0.956003222976
6,79,1958.53708265,1564.1026037
6,80,995.403278731,818.338584075
6,81,1126.07408185,913.732662805
6,82,10157.5086392,10012.1598537
6,83,553.849503256,461.445530547
6,85,460.273869526,362.086225658
6,87,4187.43712231,3484.93970554
6,90,6313.72427521,5537.57112524
6,91,5345.79642956,4995.85204669
6,92,6407.64941323,5285.15698422
6,93,5429.7298316,4608.51677388
6,94,5732.50721393,4748.13711768
6,95,4916.65978932,3688.60669444
6,96,2452.79632769,1935.25620613
6,97,1449.5583944,1213.34749518
6,98,1496.22298902,1230.18616312
6,99,1506.03238715,1481.04540761
6,39,0,0
6,50,0,0
6,43,0,0
6,65,0,0
7,1,5977.69377967,5582.6212355
7,2,4015.91274395,3778.16915714
7,3,1260.31107026,961.963588534
7,4,898.154669906,761.812744951
7,5,1916.88794228,1541.61983083
7,6,2590.42677422,2258.41413826
