Store,Dept,RMSE,MAE
2,77,65.0543757835,53.3092864768
2,78,4.57916190772,1.95648271409
2,79,4479.93095721,3201.24059049
2,80,1879.48024251,1512.89288376
2,81,3704.46003517,3392.19271088
2,82,5160.16676487,2828.95266637
2,83,846.040953391,688.451675263
2,85,611.681476051,444.849652104
2,87,6214.01506323,4641.37767081
2,90,6755.10085601,5114.35943728
2,91,5731.42177912,4841.04159087
2,92,12245.3294587,9962.23610279
2,93,6948.07627089,5742.06227623
2,94,5604.84963034,4418.06634413
2,95,10629.2401372,9206.99510191
2,96,7175.77018396,6549.92253941
2,97,2533.40546736,2160.46734511
2,98,1836.58389015,1518.59531396
2,99,657.419097734,620.844971816
2,39,0.422238758746,0.353004141018
2,50,0.0,0.0
2,43,0.0,0.0
2,65,0.0,0.0
3,1,2021.33756355,1313.63575804
3,2,1212.45511785,958.481545421
3,3,1409.82036728,822.173310264
3,4,902.868514801,747.156985575
3,5,3513.69398386,2773.91286398
3,6,884.771109421,623.049803596
3,7,3144.52806204,1920.42046928
3,8,856.70705328,727.112065127
3,9,1915.48959016,1476.68007069
3,10,1234.61121014,1071.47297254
3,11,2881.86645791,2013.15504949
3,12,469.804415767,389.974639415
3,13,2030.88101226,1760.83389386
3,14,1483.40331129,1290.33342334
3,16,3133.46140935,2313.42685702
3,17,483.197937915,363.8254787
3,18,1287.45425037,993.455628207
3,19,729.997004379,430.020676878
3,20,620.707328963,509.41938979
3,21,248.634749284,182.57638975
3,22,1123.86607249,920.250540356
3,23,1701.77899951,1275.69500688
3,24,1329.80148174,1179.80598042
3,25,972.658916814,850.815830154
3,26,748.20292572,571.443513201
3,27,251.512534868,225.117913653
3,28,55.5561090667,41.4249628245
3,29,481.997491885,391.524303186
3,30,343.849405111,270.540403021
3,31,272.486028422,183.689798937
3,32,1986.7142747,1308.95711992
3,33,833.018361587,633.438421415
3,34,953.281080878,733.470162554
3,35,525.10185034,439.34133889
3,36,420.90294786,343.621721798
3,37,0.0,0.0
3,38,12645.1980301,10372.5189364
3,40,1865.20144037,1636.04826295
3,41,395.814869308,342.019808287
3,42,1165.89195145,1009.79302028
3,44,623.481397671,534.386264388
3,45,2.97463163988,2.72535405798
3,46,1043.48600875,747.581029141
3,47,11.9326016074,10.2174352672
3,48,0.0,0.0
3,49,12.0939173579,9.15479796877
3,51,5.29842981312,4.40087340152
3,52,188.3846049,144.229934561
3,54,55.177817673,46.5088156955
3,55,1615.88253124,1238.80859754
3,56,594.58475254,404.594449321
3,58,0.0,0.0
3,59,511.020968054,499.349599373
3,60,43.4436986431,36.0832429176
3,67,625.183003147,456.344921077
3,71,655.885666218,523.915502083
3,72,5722.87794889,3949.29176708
